invoice_id,issue_date,provider,rut_provider,net_amount,tax,total,period,expected_tax,tax_ok,expected_total,total_ok,expected_period,period_ok,error_type,final_status
F00000,2024-01-20,Servicios Andes Ltda,76.123.456-7,259591.0,49322.29,308913.29,2024-01,49322.29,True,308913.29,True,2024-01,True,OK,0
F00001,2024-01-08,Comercial Sur SpA,76.123.456-7,461321.0,87650.99,548971.99,2024-01,87650.99,True,548971.99,True,2024-01,True,OK,0
F00002,2024-01-15,Comercial Sur SpA,76.123.456-7,291552.0,55394.88,346946.88,2024-01,55394.88,True,346946.88,True,2024-01,True,OK,0
F00003,2024-01-09,Tecnología Norte SpA,76.123.456-7,436067.0,59629.73065262794,495696.73065262794,2024-01,82852.73,False,495696.73065262794,True,2024-01,True,IVA incorrecto,1
F00004,2024-01-31,Logística Patagonia Ltda,76.123.456-7,493344.0,108238.69560658648,601582.6956065865,2024-01,93735.36,False,601582.6956065865,True,2024-01,True,IVA incorrecto,1
F00005,2024-01-01,Tecnología Norte SpA,76.123.456-7,300830.0,58454.9343130567,359284.9343130567,2024-01,57157.7,False,359284.9343130567,True,2024-01,True,IVA incorrecto,1
F00006,2024-01-29,Comercial Sur SpA,76.123.456-7,128576.0,24429.44,153005.44,2024-01,24429.44,True,153005.44,True,2024-01,True,OK,0
F00007,2024-01-20,Tecnología Norte SpA,76.123.456-7,303368.0,72048.53768617437,375416.5376861744,2024-01,57639.92,False,375416.5376861744,True,2024-01,True,IVA incorrecto,1
F00008,2024-01-20,Servicios Andes Ltda,76.123.456-7,236482.0,44931.58,281413.58,2024-01,44931.58,True,281413.58,True,2024-01,True,OK,0
F00009,2024-01-31,Logística Patagonia Ltda,76.123.456-7,384495.0,73812.73992019992,458307.7399201999,2024-01,73054.05,False,458307.7399201999,True,2024-01,True,IVA incorrecto,1
F00010,2024-01-23,Comercial Sur SpA,76.123.456-7,431860.0,76020.58346432976,507880.5834643298,2024-01,82053.4,False,507880.5834643298,True,2024-01,True,IVA incorrecto,1
F00011,2024-01-27,Logística Patagonia Ltda,76.123.456-7,202473.0,38469.87,240942.87,2024-01,38469.87,True,240942.87,True,2024-01,True,OK,0
F00012,2024-01-11,Comercial Sur SpA,76.123.456-7,426174.0,96283.57104863472,522457.5710486347,2024-01,80973.06,False,522457.5710486347,True,2024-01,True,IVA incorrecto,1
F00013,2024-01-15,Tecnología Norte SpA,76.123.456-7,169161.0,32140.59,201301.59,2024-01,32140.59,True,201301.59,True,2024-01,True,OK,0
F00014,2024-01-14,Comercial Sur SpA,76.123.456-7,244476.0,46450.44,290926.44,2024-01,46450.44,True,290926.44,True,2024-01,True,OK,0
F00015,2024-01-23,Comercial Sur SpA,76.123.456-7,419557.0,79715.83,499272.83,2024-01,79715.83,True,499272.83,True,2024-01,True,OK,0
F00016,2024-01-29,Tecnología Norte SpA,76.123.456-7,339942.0,57998.18364399084,397940.18364399084,2024-01,64588.98,False,397940.18364399084,True,2024-01,True,IVA incorrecto,1
F00017,2024-01-21,Tecnología Norte SpA,76.123.456-7,357341.0,67894.79,425235.79,2024-01,67894.79,True,425235.79,True,2024-01,True,OK,0
F00018,2024-01-22,Tecnología Norte SpA,76.123.456-7,442977.0,84165.63,527142.63,2024-01,84165.63,True,527142.63,True,2024-01,True,OK,0
F00019,2024-01-18,Logística Patagonia Ltda,76.123.456-7,268102.0,50939.38,319041.38,2024-01,50939.38,True,319041.38,True,2024-01,True,OK,0
F00020,2024-01-24,Servicios Andes Ltda,76.123.456-7,86526.0,17390.98473358244,103916.98473358245,2024-01,16439.94,False,103916.98473358245,True,2024-01,True,IVA incorrecto,1
F00021,2024-01-01,Comercial Sur SpA,76.123.456-7,358507.0,49265.260619100416,407772.2606191004,2024-01,68116.33,False,407772.2606191004,True,2024-01,True,IVA incorrecto,1
F00022,2024-01-02,Logística Patagonia Ltda,76.123.456-7,275896.0,45394.99932077424,321290.9993207742,2024-01,52420.24,False,321290.9993207742,True,2024-01,True,IVA incorrecto,1
F00023,2024-01-24,Logística Patagonia Ltda,76.123.456-7,215248.0,52344.33097524603,267592.33097524603,2024-01,40897.12,False,267592.33097524603,True,2024-01,True,IVA incorrecto,1
F00024,2024-01-01,Comercial Sur SpA,76.123.456-7,163371.0,24461.63053003176,187832.63053003175,2024-01,31040.49,False,187832.63053003175,True,2024-01,True,IVA incorrecto,1
